ProductName,DiskType,Capacity,Rotation Speed,Interface,FormFactor
Hitachi Travelstar Z5K500 250GB,Hard disk,250 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital AV 160GB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Deskstar P7K500 250GB SATA2,Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Momentus 7200.3 80GB SATA2,Hard disk,80 GB,7200 rpm,Serial ATA 300,2.5 inch
Western Digital AV-GP 160GB (SATA2; 8MB),Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital RE3 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Red 3TB,Hard disk,3000 GB,5400 rpm,Serial ATA 600,3.5 inch
Western Digital AV-GP 250GB (SATA3; 32MB),Hard disk,250 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MQ01ABD150 1.5TB,Hard disk,1500 GB,5400 rpm,Serial ATA 300,2.5 inch
HGST Ultrastar He8 6TB (4Kn),Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate NAS HDD 2TB,Hard disk,2000 GB,5900 rpm,Serial ATA 600,3.5 inch
Toshiba MC04ACA500E 5TB,Hard disk,5000 GB,7200 rpm,Serial ATA 600,3.5 inch
"Western Digital VelociRaptor 74GB (3.5"" backplane)",Hard disk,74 GB,10000 rpm,Serial ATA 300,3.5 inch
Seagate SkyHawk 6TB,Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MQ03ABB300 3TB,Hard disk,3000 GB,5400 rpm,Serial ATA 600,2.5 inch
Seagate Momentus 5400.FDE.4 500GB SATA2,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Toshiba MK1661GSYN 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate Barracuda 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Constellation ES.3 4TB (SATA3),Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital VelociRaptor 300GB (retail),Hard disk,300 GB,10000 rpm,Serial ATA 300,3.5 inch
Western Digital Scorpio Black 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 600,2.5 inch
Western Digital Scorpio Blue 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Deskstar T7K500 320GB,Hard disk,320 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Travelstar Z7K320 320GB (5400rpm),Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Momentus Spinpoint M8 1TB,Hard disk,1000 GB,5400 rpm,Serial ATA 300,2.5 inch
Toshiba DT01ACA050 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital Desk Blue 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 600,3.5 inch
Seagate Constellation 2.5 500GB,Hard disk,500 GB,7200 rpm,Serial ATA 600,2.5 inch
Western Digital Se 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
"Intenso 3.5"" Internal HDD 4TB",Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Constellation.2 250GB (SATA3),Hard disk,250 GB,7200 rpm,Serial ATA 600,2.5 inch
Seagate Pipeline 2TB (SATA3),Hard disk,2000 GB,5900 rpm,Serial ATA 600,3.5 inch
HGST Deskstar 7K4000 4TB,Hard disk,4000 GB,7200 rpm,Serial ATA 600,3.5 inch
Hitachi Travelstar 5K750 750GB,Hard disk,750 GB,5400 rpm,Serial ATA 300,2.5 inch
Hitachi Deskstar 7K1000.B 160GB SATA2,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Constellation ES.3 ST1000NM0033 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MQ02ABD100H 1TB,Hard disk,1000 GB,5400 rpm,Serial ATA 600,2.5 inch
Western Digital VelociRaptor 500GB,Hard disk,500 GB,10000 rpm,Serial ATA 600,3.5 inch
Seagate Enterprise Capacity 2TB (SATA3),Hard disk,2000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital AV-25 160GB (SATA2; 16MB),Hard disk,160 GB,5400 rpm,Serial ATA 300,2.5 inch
Samsung Spinpoint P80 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar SE16 500GB (SATA2; retail),Hard disk,500 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Barracuda 7200.12 160GB,Hard disk,160 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Mobile HDD 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 600,2.5 inch
Western Digital Purple 2TB,Hard disk,2000 GB,5400 rpm,Serial ATA 600,3.5 inch
Hitachi Travelstar Z5K320 250GB,Hard disk,250 GB,5400 rpm,Serial ATA 300,2.5 inch
Fujitsu MHZ2320BH 320GB SATA2,Hard disk,320 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Green 6TB,Hard disk,6000 GB,5400 rpm,Serial ATA 600,3.5 inch
Seagate Constellation ES.2 3TB (SATA3; SED),Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Western Digital AV-GP 3TB (SATA2; 64MB),Hard disk,3000 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital AV-GP 500GB (SATA2; 32MB),Hard disk,500 GB,5400 rpm,Serial ATA 300,3.5 inch
Western Digital Caviar Black 750GB (SATA2; 32MB; V2),Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Pipeline 500GB,Hard disk,500 GB,5900 rpm,Serial ATA 300,3.5 inch
Western Digital Red 2TB (retail),Hard disk,2000 GB,5400 rpm,Serial ATA 600,3.5 inch
Seagate Barracuda ES 250GB 16MB SATA2,Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Momentus 7200.2 120GB SATA2,Hard disk,120 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate Enterprise Capacity 6TB (SED-FIPS),Hard disk,6000 GB,7200 rpm,Serial ATA 600,3.5 inch
Samsung Spinpoint F4 250GB,Hard disk,250 GB,7200 rpm,Serial ATA 300,3.5 inch
Seagate Surveillance HDD 3TB,Hard disk,3000 GB,5900 rpm,Serial ATA 600,3.5 inch
Western Digital AV 500GB (SATA3),Hard disk,500 GB,7200 rpm,Serial ATA 600,3.5 inch
Fujitsu MHZ2500BT 500GB SATA2,Hard disk,500 GB,4200 rpm,Serial ATA 300,2.5 inch
Western Digital Caviar SE16 750GB,Hard disk,750 GB,7200 rpm,Serial ATA 300,3.5 inch
Western Digital RE3 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 300,3.5 inch
Hitachi Travelstar Z5K500 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Fujitsu MHZ2250BH 250GB SATA2,Hard disk,250 GB,7200 rpm,Serial ATA 300,2.5 inch
Seagate Barracuda 7200.14 1TB,Hard disk,1000 GB,7200 rpm,Serial ATA 600,3.5 inch
Toshiba MG03ACA 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
Seagate Momentus Thin 500GB,Hard disk,500 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Momentus Thin 250GB,Hard disk,250 GB,5400 rpm,Serial ATA 300,2.5 inch
Western Digital Caviar Green 1.5TB (SATA2; 8MB),Hard disk,1500 GB,5400 rpm,Serial ATA 300,2.5 inch
Seagate Constellation CS 3TB,Hard disk,3000 GB,7200 rpm,Serial ATA 600,3.5 inch
