ProductName,Power(W),Efficiency Rating
Aerocool E80-500 500W,500 W,
FSP Fortron Aurum Gold S 500W,500 W,80 Plus Gold
Xilence SQ Series 450W,450 W,80 Plus Platinum
SilverStone Strider Essential 230V 700W,700 W,80 Plus Silver
Corsair TX650M,650 W,80 Plus Bronze
Seasonic S12G 750W,750 W,80 Plus Gold
Thermaltake Smart SE 530W,530 W,80 Plus Bronze
Be quiet! Efficient F1 600W,600 W,80 Plus Gold
Be quiet! System Power 8 400W,400 W,80 Plus
FSP Raider 650W,650 W,80 Plus Bronze
SilverStone Strider Platinum 650W,650 W,80 Plus Platinum
Antec HCP-750 High Current Pro 750W,750 W,80 Plus Gold
Thermaltake TR2 RX 550W,550 W,
Be quiet! Dark Power Pro 11 650W,650 W,80 Plus Platinum
Chieftec Navitas 750W,750 W,80 Plus Gold
FSP FSP500-60APN 500W,500 W,80 Plus Bronze
Be quiet! Pure Power L7 430W,430 W,80 Plus
Thermaltake Toughpower QFan 850W,850 W,
Xilence Performance A+ 730W,730 W,80 Plus Bronze
FSP FSP500-60EPN 500W,500 W,80 Plus Bronze
Gigabyte Greenmax Plus 650W,650 W,80 Plus Bronze
Thermaltake TR2 Qfan 450W,450 W,
Antec CP-1000 1000W,1000 W,80 Plus
Thermaltake Toughpower DPS G Platinum 1050W,1050 W,80 Plus Platinum
EVGA SuperNova Classified 1500W,1500 W,80 Plus Gold
Corsair CS450M,450 W,80 Plus Gold
Seasonic X-Series 750W V2,750 W,80 Plus Gold
Antec EarthWatts 430W Green,430 W,80 Plus Bronze
Seasonic SS-300M1U 300W,300 W,80 Plus Gold
Antec EA-650 Green,650 W,80 Plus Bronze
Seasonic X-Series 1050W,1050 W,80 Plus Gold
Corsair TX750 V2,750 W,80 Plus Bronze
Cooler Master Silent Pro M2 1500W,1500 W,
Seasonic S12II 350W,350 W,80 Plus Bronze
Thermaltake Toughpower QFan 500W,500 W,
Cooler Master B-Series 700W,700 W,80 Plus Bronze
Gigabyte Hercules Pro 530W,530 W,
Gigabyte Odin 470W,470 W,
Aerocool AP-450 450W,450 W,
Cooler Master G-Series 700W,700 W,80 Plus Bronze
Antec TruePower 550W,550 W,80 Plus Bronze
Seasonic SS-350ES 350W,350 W,80 Plus Bronze
Be quiet! Dark Power Pro 10 1200W,1200 W,80 Plus Gold
Antec HCG-750 High Current Gamer 750W,750 W,80 Plus Bronze
SilverStone Evolution 2.0 1000W,1000 W,80 Plus Gold
Seasonic SS-400ET 400W,400 W,80 Plus Bronze
Thermaltake Toughpower Grand Platinum 1200W,1200 W,80 Plus Platinum
Cooler Master Silent Pro M2 620W,620 W,80 Plus Bronze
EVGA SuperNova G2 750W,750 W,80 Plus Gold
Be quiet! System Power 8 600W,600 W,80 Plus
Antec VP700P,700 W,
Be quiet! Straight Power E6 550W,550 W,
Be quiet! Pure Power L8 300W,300 W,80 Plus Bronze
FSP Aurum S 700W,700 W,80 Plus Gold
FSP FSP350-70PFL,350 W,80 Plus Bronze
EVGA SuperNova G2 1300W,1300 W,80 Plus Gold
Super Flower Leadex Gold 650W White,650 W,80 Plus Gold
Chieftec Super 750W,750 W,
