ProductName,FormFactor,CPUSocket,Chipset,MemType,Sata3Ports,PCIExpress_x16Ports,DDR3MemSlots,DDR4MemSlots
MSI P6NGM-FD,Micro ATX,Socket 775,Nvidia nForce 630i,DDR2,,,,
ASRock P43 Pro/USB3,ATX,Socket 775,Intel P43,DDR3,,,,
MSI Z97 Gaming 9 AC,ATX,Socket 1150,Intel Z97,DDR3,8,3,4,
ASRock 4CoreN73PV-HD720p,Micro ATX,Socket 775,,,,,,
ASRock X99M Extreme4,Micro ATX,Socket 2011-3,Intel X99,DDR4,10,3,,
ASRock P67 Transformer,ATX,Socket 1156,Intel P67,DDR3,,,,
ASRock M3A785GMH/128M,Micro ATX,Socket AM3,AMD 785G,DDR3,,,,
MSI K8N Neo3-F,ATX,Socket 754,Nvidia nForce 4,,,,,
ASRock Fatal1ty Z170 Professional Gaming i7,ATX,Socket 1151,Intel Z170,DDR4,10,4,,
Gigabyte B150M-D3H DDR3,Micro ATX,Socket 1151,Intel B150,DDR3,6,1,,
Gigabyte Z87-D3HP,ATX,Socket 1150,Intel Z87,DDR3,6,2,4,
MSI A68HM Grenade,Micro ATX,Socket FM2+,AMD A68H,DDR3,4,1,,
MSI B85M Eco,Micro ATX,Socket 1150,Intel B85,DDR3,4,1,4,0
MSI P45 Zilent,ATX,Socket 775,Intel P45,DDR2,,,,
Gigabyte M61PME-S2,Micro ATX,Socket AM2,Nvidia GeForce 6100,DDR2,,,,
MSI H87M-E33,Micro ATX,Socket 1150,Intel H87,DDR3,4,1,,
MSI 975X Platinum,ATX,Socket 775,Intel 975X,,,,,
Gigabyte X170-Gaming 3 WS,ATX,Socket 1151,Intel C236,DDR4,6,3,0,4
MSI H87M-E35,Micro ATX,Socket 1150,Intel H87,DDR3,6,1,,
MSI G41M-P35,Micro ATX,Socket 775,Intel G41,DDR3,,,,
Gigabyte P35T-DQ6,ATX,Socket 775,Intel P35,DDR3,,,4,
MSI G41M-P34,Micro ATX,Socket 775,Intel G41,DDR3,,,,
ASUS F2A55-M LE,Micro ATX,Socket FM2,AMD A55,DDR3,,,,
MSI G41M-P33,Micro ATX,Socket 775,Intel G41,DDR3,,,,
Gigabyte H81M-S2PH,Micro ATX,Socket 1150,Intel H81,DDR3,2,1,,
ASUS M2A74-AM,Micro ATX,Socket AM2+,AMD 740G,DDR2,,,,
MSI B150M Mortar,Micro ATX,Socket 1151,Intel B150,DDR4,6,2,0,4
Gigabyte M85M-US2H,Micro ATX,Socket AM2+,Nvidia GeForce 8200,DDR2,,,,
ASUS Striker Extreme,ATX,Socket 775,Nvidia nForce 680i SLI,DDR2,,,,
MSI 880GMA-E35,Micro ATX,Socket AM3,AMD 880G,DDR3,6,1,,
ASRock X99 Taichi,ATX,Socket 2011-3,Intel X99,DDR4,10,3,0,8
ASUS F2A55-M LK,Micro ATX,Socket FM2,AMD A55,DDR3,,,,
Gigabyte G33M-DS2R,Micro ATX,Socket 775,Intel G33,DDR2,,,,
ASRock P55 Deluxe3,ATX,Socket 1156,Intel P55,DDR3,,,,
MSI G31TM-P35,Micro ATX,Socket 775,Intel G31,DDR2,,,,
ASUS Maximus VII Formula,ATX,Socket 1150,Intel Z97,DDR3,10,3,4,
ASUS A78M-A,ATX,Socket FM2+,AMD A78,DDR3,6,1,,
Gigabyte 6LXSV,ATX,Socket 1150,Intel C224,DDR3,4,4,,
ASUS P7P55D-E,ATX,Socket 1156,Intel P55,DDR3,2,2,,
ASRock E3C222D4U,Micro ATX,Socket 1150,Intel C222,DDR3,,,,
ASRock ALiveXFire-eSATA3 R3.0,ATX,Socket AM2,,DDR2,,,,
ASRock X79 Fatal1ty Professional,ATX,Socket 2011,,DDR3,6,4,,
Gigabyte 880GM-UD2H,Micro ATX,Socket AM3,AMD 880G,DDR3,0,1,4,
Gigabyte EX58-UD3R,ATX,Socket 1366,Intel X58,DDR3,,,4,
ASUS Z8NA-D6C,ATX,Socket 1366,Intel 5500,DDR3,,,,
ASUS A8R32-MVP Deluxe,ATX,Socket 939,,,,,,
MSI X99S SLI Plus,ATX,Socket 2011-3,Intel X99,DDR4,10,4,0,8
MSI H81M-P33,Micro ATX,Socket 1150,Intel H81,DDR3,2,1,,
ASUS A78M-E,Micro ATX,Socket FM2+,AMD A78,DDR3,6,1,,
MSI CSM-H81M-P32,Micro ATX,Socket 1150,Intel H81,DDR3,,,,
ASUS M3N78-AM,Micro ATX,Socket AM2+,Nvidia GeForce 8200,DDR2,,,,
MSI H81M-P32,Micro ATX,Socket 1150,Intel H81,DDR3,2,1,,
ASUS M4N82 Deluxe,ATX,Socket AM2+,Nvidia nForce 980a SLI,DDR2,,,,
ASUS P8Z77-V LK,ATX,Socket 1155,Intel Z77,DDR3,2,1,,
MSI Z77A-G41,ATX,Socket 1155,Intel Z77,DDR3,2,2,,
ASRock Fatal1ty P67 Professional,ATX,Socket 1155,Intel P67,DDR3,6,3,4,
MSI Z77A-G43,ATX,Socket 1155,Intel Z77,DDR3,2,2,4,
ASUS Z87-Deluxe,ATX,Socket 1150,Intel Z87,DDR3,10,3,4,
MSI Z170A XPower Gaming Titanium,ATX,Socket 1151,Intel Z170,DDR4,8,4,0,4
MSI Z77A-G45,ATX,Socket 1155,Intel Z77,DDR3,2,3,4,
Gigabyte H110M-DS2,Micro ATX,Socket 1151,Intel H110,DDR4,4,1,,
ASUS P5Q3,ATX,Socket 775,Intel P45,DDR3,,,,
Gigabyte Q87M-D2,Micro ATX,Socket 1150,Intel Q87,DDR3,6,1,,
Gigabyte Z77-DS3H,ATX,Socket 1155,Intel Z77,DDR3,2,1,,
ASRock H170 Pro4/Hyper,ATX,Socket 1151,Intel H170,DDR4,,,,
MSI H61M-G35 (G3),Micro ATX,Socket 1155,Intel H61,DDR3,0,2,,
Gigabyte MA78GM-S2H,Micro ATX,Socket AM2+,AMD 780G,DDR2,,,0,
Gigabyte H87-HD3,ATX,Socket 1150,Intel H87,DDR3,6,2,,
ASUS P6X58-E WS,ATX,Socket 1366,Intel X58,DDR3,2,5,,
