ProductName,Capacity (Total),ModuleNum,MemType,MemSpeed
G.Skill Ripjaws V 32GB DDR4-3200 CL16 kit,32 GB,2 x,DDR4,3200 MHz
Kingston ValueRam 32GB DDR4-2133 ECC Registered CL15 quad kit,32 GB,4 x,DDR4,2133 MHz
Corsair Vengeance 16GB DDR3-1600 CL9 LP kit,16 GB,2 x,DDR3,1600 MHz
G.Skill NT Series 8GB DDR4-2400 CL15 kit,8 GB,2 x,DDR4,2400 MHz
G.Skill Trident Z 16GB DDR4-3200 CL16-18 quad kit,16 GB,4 x,DDR4,3200 MHz
Adata XPG Gaming 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
G.Skill Aegis 16GB DDR4-2133 CL15 quad kit,16 GB,4 x,DDR4,2133 MHz
Corsair Dominator GT 4GB DDR3-1600 CL7 kit (AirFlow Fan),4 GB,2 x,DDR3,1600 MHz
G.Skill 12GB DDR3-1600 CL7 hexa kit,12 GB,6 x,DDR3,1600 MHz
Corsair Vengeance LPX Black 64GB DDR4-2400 CL14 octo kit,64 GB,8 x,DDR4,2400 MHz
Geil 4GB DDR3-1600 CL9 kit,4 GB,2 x,DDR3,1600 MHz
Geil Black Dragon 8GB DDR3-1600 CL7 quad kit,8 GB,4 x,DDR3,1600 MHz
Geil Evo Corsa 8GB DDR3-1866 CL9 kit,8 GB,2 x,DDR3,1866 MHz
Geil Evo Potenza 32GB DDR3-1600 CL10 quad kit,32 GB,4 x,DDR3,1600 MHz
Kingston HyperX 6GB DDR3-1600 CL8 LowLat triple kit,6 GB,3 x,DDR3,1600 MHz
Team Vulcan Series Red 8GB DDR3-2400 CL11 kit,8 GB,2 x,DDR3,2400 MHz
Kingston HyperX Beast 16GB DDR3-2400 CL11 kit,16 GB,2 x,DDR3,2400 MHz
Kingston ValueRam 64GB DDR3-1333 CL9 ECC Registered quad kit,64 GB,4 x,DDR3,1333 MHz
Geil Evo Veloce White 8GB DDR3-2666 CL11-13 kit,8 GB,2 x,DDR3,2666 MHz
Kingston HyperX Predator 32GB DDR4-2400 CL12 quad kit,32 GB,4 x,DDR4,2400 MHz
G.Skill Ripjaws 6GB DDR3-1600 CL8 triple kit,6 GB,3 x,DDR3,1600 MHz
Adata XPG Gaming V2 12GB DDR3-2000 CL9 triple kit,12 GB,3 x,DDR3,2000 MHz
Corsair Vengeance 4GB DDR3-2000 CL10 kit,4 GB,2 x,DDR3,2000 MHz
Corsair Dominator Platinum 32GB DDR4-2133 CL10 quad kit,32 GB,4 x,DDR4,2133 MHz
Geil Evo Potenza Frost White 16GB DDR3-3000 CL13 kit,16 GB,2 x,DDR3,3000 MHz
G.Skill Ripjaws V Red 16GB DDR4-3200 CL14 kit,16 GB,2 x,DDR4,3200 MHz
Kingston HyperX Savage 8GB DDR3-2400MHz CL11 kit,8 GB,2 x,DDR3,2400 MHz
Kingston ValueRam 8GB DDR2-667 CL5 ECC Registered kit,8 GB,2 x,DDR2,667 MHz
Kingston HyperX 4GB DDR2-1066 kit,4 GB,2 x,DDR2,1066 MHz
Geil Evo Forza Black/Red 16GB DDR4-3000 CL15 kit,16 GB,2 x,DDR4,3000 MHz
G.Skill Trident Z 32GB DDR4-2800 CL14 kit,32 GB,2 x,DDR4,2800 MHz
Corsair Vengeance LPX Black 16GB DDR4-2133 CL15 quad kit,16 GB,4 x,DDR4,2133 MHz
Corsair Vengeance LPX Red 16GB DDR4-2133 CL13 quad kit,16 GB,4 x,DDR4,2133 MHz
Geil Dragon 64GB DDR4-3000 CL15 quad kit,64 GB,4 x,DDR4,3000 MHz
Crucial Ballistix Sport LT Red 32GB DDR4-2400 CL16 quad kit,32 GB,4 x,DDR4,2400 MHz
Team Elite Plus Series 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
Crucial Ballistix Sport 16GB DDR4-2400 CL16 kit,16 GB,2 x,DDR4,2400 MHz
G.Skill RipjawsX 32GB DDR3-1333 CL9 quad kit,32 GB,4 x,DDR3,1333 MHz
Kingston ValueRam 8GB DDR4-2400 CL17 ECC kit,8 GB,2 x,DDR4,2400 MHz
Kingston HyperX Predator 16GB DDR4-2400 CL12 quad kit,16 GB,4 x,DDR4,2400 MHz
G.Skill Trident Z 32GB DDR4-3400 CL16 kit,32 GB,2 x,DDR4,3400 MHz
Adata XPG V3 8GB DDR3-3100 CL12 kit,8 GB,2 x,DDR3,3100 MHz
Kingston HyperX H2O 6GB DDR3-2000 CL9 triple kit,6 GB,3 x,DDR3,2000 MHz
Kingston HyperX Fury Black 8GB DDR3-1866 CL11 kit,8 GB,2 x,DDR3,1866 MHz
Crucial Ballistix Sport 8GB DDR3-1866 CL10 kit,8 GB,2 x,DDR3,1866 MHz
Corsair Vengeance LPX Black 16GB DDR4-2666 CL16 kit,16 GB,2 x,DDR4,2666 MHz
Crucial Ballistix Tracer 4GB DDR3-1600 CL8 kit (blue),4 GB,2 x,DDR3,1600 MHz
Transcend aXeRam 8GB DDR3-2400 CL11 kit,8 GB,2 x,DDR3,2400 MHz
G.Skill TridentX 16GB DDR3-2600 CL10 quad kit,16 GB,4 x,DDR3,2600 MHz
Geil Evo One 4GB DDR3-2200 CL9 kit,4 GB,2 x,DDR3,2200 MHz
Geil Evo Corsa 16GB DDR3-1333 CL9 kit,16 GB,2 x,DDR3,1333 MHz
Kingston HyperX Predator 8GB DDR3-2133MHz CL11 kit,8 GB,2 x,DDR3,2133 MHz
G.Skill Ripjaws V Black 32GB DDR4-3200 CL16 quad kit,32 GB,4 x,DDR4,3200 MHz
Corsair Vengeance LPX Black 8GB DDR4-3333 CL16 kit,8 GB,2 x,DDR4,3333 MHz
G.Skill 4GB DDR2-667 CL5 kit,4 GB,2 x,DDR2,667 MHz
G.Skill Ripjaws IV Red 32GB DDR4-2400 CL15 quad kit,32 GB,4 x,DDR4,2400 MHz
G.Skill Trident Z 16GB DDR4-3200 CL15 kit,16 GB,2 x,DDR4,3200 MHz
Corsair Vengeance LPX Red 16GB DDR4-4000 CL19 kit,16 GB,2 x,DDR4,4000 MHz
G.Skill 4GB DDR2-1066 CL5 kit,4 GB,2 x,DDR2,1066 MHz
Adata XPG 32GB DDR4-2800 CL17 quad kit,32 GB,4 x,DDR4,2800 MHz
OCZ Black Edition 4GB DDR3-1600 CL8 kit,4 GB,2 x,DDR3,1600 MHz
Adata XPG Xtreme 8GB DDR3-1600 CL7 kit,8 GB,2 x,DDR3,1600 MHz
G.Skill RipjawsX 16GB DDR3-2133 CL10 quad kit,16 GB,4 x,DDR3,2133 MHz
G.Skill Ares 16GB DDR3-2133 CL10 kit,16 GB,2 x,DDR3,2133 MHz
Kingston HyperX Beast 32GB DDR3-1600 CL9 quad kit,32 GB,4 x,DDR3,1600 MHz
OCZ Reaper HPC 12GB DDR3-2000 CL8 triple kit,12 GB,3 x,DDR3,2000 MHz
OCZ Reaper HPC 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Transcend aXeRam 8GB DDR3-2133 CL10 kit,8 GB,2 x,DDR3,2133 MHz
G.Skill Ares 8GB DDR3-1333 CL9,8 GB,2 x,DDR3,1333 MHz
Kingston ValueRam 32GB DDR4-2400 CL17 ECC Registered quad kit,32 GB,4 x,DDR4,2400 MHz
Kingston HyperX Black 4GB DDR3-1333 CL9 kit,4 GB,2 x,DDR3,1333 MHz
G.Skill Trident Z Black/Orange 16GB DDR4-3200 CL16 kit,16 GB,2 x,DDR4,3200 MHz
Geil Evo Potenza 16GB DDR4-2133 CL15 quad kit,16 GB,4 x,DDR4,2133 MHz
G.Skill Ripjaws IV Red 16GB DDR4-2400 CL15 quad kit,16 GB,4 x,DDR4,2400 MHz
Kingston ValueRam 4GB DDR3-1333 CL9 ECC Registered kit,4 GB,2 x,DDR3,1333 MHz
Kingston HyperX Savage Black 8GB DDR4-3000 CL15 quad kit,8 GB,4 x,DDR4,3000 MHz
Kingston HyperX 4GB DDR2-1066 CL5 kit,4 GB,2 x,DDR2,1066 MHz
Crucial 16GB DDR3-1866 CL13 ECC kit,16 GB,2 x,DDR3,1866 MHz
Crucial 32GB DDR4-2400 CL17 ECC Registered kit,32 GB,2 x,DDR4,2400 MHz
G.Skill Trident Z Black/White 32GB DDR4-3200 CL14 kit,32 GB,2 x,DDR4,3200 MHz
Corsair Dominator Platinum 16GB DDR4-3300 CL16 quad kit,16 GB,4 x,DDR4,3300 MHz
Crucial 32GB DDR4-2400 CL17 quad kit,32 GB,4 x,DDR4,2400 MHz
Geil Evo Veloce Red 8GB DDR3-2666 CL11 kit,8 GB,2 x,DDR3,2666 MHz
OCZ Reaper HPC 6GB DDR3-1866 CL8 triple kit,6 GB,3 x,DDR3,1866 MHz
Kingston HyperX Fury Black 8GB DDR4-2400 CL15 kit,8 GB,2 x,DDR4,2400 MHz
G.Skill RipjawsZ 16GB DDR3-1666 CL7 quad kit,16 GB,4 x,DDR3,1600 MHz
Kingston HyperX LoVo 4GB DDR3-1600 CL9 XMP kit,4 GB,2 x,DDR3,1600 MHz
Geil Black Dragon Quad 4GB DDR2-667 CL4 quad kit,4 GB,4 x,DDR2,667 MHz
G.Skill Trident Z Black/Silver 32GB DDR4-3200 CL15 kit,32 GB,2 x,DDR4,3200 MHz
OCZ Core i7 XTC 6GB DDR3-1333 CL7 triple kit,6 GB,3 x,DDR3,1333 MHz
Kingston HyperX Predator 16GB DDR3-1866 CL9 quad kit,16 GB,4 x,DDR3,1866 MHz
Kingston HyperX Predator T2 8GB DDR3-2800 CL12 kit,8 GB,2 x,DDR3,2800 MHz
Crucial 4GB DDR3-1066 CL7 ECC kit,4 GB,2 x,DDR3,1066 MHz
Adata XPG Red 16GB DDR3-2133 CL10 kit,16 GB,2 x,DDR3,2133 MHz
Crucial Ballistix Elite 8GB DDR4-2666 CL16 kit,8 GB,2 x,DDR4,2666 MHz
OCZ Platinum XTC 4GB DDR3-2000 CL9 kit,4 GB,2 x,DDR3,2000 MHz
Corsair Vengeance 6GB DDR3-1600 CL8 triple kit,6 GB,3 x,DDR3,1600 MHz
Geil Evo Two 8GB DDR3-1333 CL6 kit,8 GB,2 x,DDR3,1333 MHz
Corsair Vengeance Pro Blue 16GB DDR3-1866 CL9 kit,16 GB,2 x,DDR3,1866 MHz
Corsair Vengeance Pro Red 16GB DDR3-2933 CL12 quad kit,16 GB,4 x,DDR3,2933 MHz
Kingston HyperX Genesis 8GB DDR3-2400 CL11 quad kit,8 GB,4 x,DDR3,2400 MHz
G.Skill 6GB DDR3-1333 CL9 triple kit,6 GB,3 x,DDR3,1333 MHz
G.Skill Sniper 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
G.Skill RipjawsX 8GB DDR3-1600 CL9 quad kit,8 GB,4 x,DDR3,1600 MHz
Kingston ValueRam 12GB DDR3-1066 CL7 ECC Reg triple kit,12 GB,3 x,DDR3,1066 MHz
Kingston HyperX Red 16GB DDR3-1600 CL10 XMP kit,16 GB,2 x,DDR3,1600 MHz
Corsair Dominator GT 16GB DDR3-2133 CL9 quad kit,16 GB,4 x,DDR3,2133 MHz
Corsair Vengeance Blue 16GB DDR3-1600 CL10 kit,16 GB,2 x,DDR3,1600 MHz
Kingston ValueRam 6GB DDR3-1333 CL9 triple kit,6 GB,3 x,DDR3,1333 MHz
G.Skill Ripjaws V 16GB DDR4-3600 CL17 kit,16 GB,2 x,DDR4,3600 MHz
G.Skill Aegis 32GB DDR4-2133 CL15 quad kit,32 GB,4 x,DDR4,2133 MHz
OCZ Reaper HPC 4GB DDR2-1066 CL5 kit,4 GB,2 x,DDR2,1066 MHz
Kingston HyperX Savage 32GB DDR3-1600MHz CL9 quad kit,32 GB,4 x,DDR3,1600 MHz
OCZ XTE 4GB DDR3-2000 CL10 kit,4 GB,2 x,DDR3,2000 MHz
Corsair Vengeance Black White LED 64GB DDR4-2666 CL16 quad kit,64 GB,4 x,DDR4,2666 MHz
G.Skill RipjawsZ 16GB DDR3-2133 CL9-11-9 quad kit,16 GB,4 x,DDR3,2133 MHz
Corsair Vengeance Red 8GB DDR3-1600 CL8 kit,8 GB,2 x,DDR3,1600 MHz
Geil 16GB DDR4-2133 CL15 kit,16 GB,2 x,DDR4,2133 MHz
Corsair Dominator 16GB DDR3-1866 CL9 quad kit,16 GB,4 x,DDR3,1866 MHz
Geil Black Dragon 12GB DDR3-1600 CL9 triple kit,12 GB,3 x,DDR3,1600 MHz
G.Skill RipjawsZ 64GB DDR3-2400 CL11 octo kit,64 GB,8 x,DDR3,2400 MHz
Geil Evo Two 16GB DDR3-1866 CL10 quad kit,16 GB,4 x,DDR3,1866 MHz
G.Skill Aegis 16GB DDR3-1333 CL9 kit,16 GB,2 x,DDR3,1333 MHz
Corsair Dominator Platinum 16GB DDR4-2133 CL10 quad kit,16 GB,4 x,DDR4,2133 MHz
G.Skill Trident Z 8GB DDR4-3200 CL16-16 kit,8 GB,2 x,DDR4,3200 MHz
G.Skill Trident Z 32GB DDR4-3200 CL14 Black/Yellow quad kit,32 GB,4 x,DDR4,3200 MHz
Crucial Ballistix Sport 32GB DDR3-1600 CL9 quad kit,32 GB,4 x,DDR3,1600 MHz
Crucial Ballistix Sport 32GB DDR4-2400 CL16 quad kit,32 GB,4 x,DDR4,2400 MHz
Corsair Vengeance 8GB DDR3-1600 CL9 quad kit,8 GB,4 x,DDR3,1600 MHz
G.Skill Ripjaws IV Blue 16GB DDR4-3000 CL15 kit,16 GB,2 x,DDR4,3000 MHz
G.Skill Trident Z Series 32GB DDR4-3200 CL15 kit,32 GB,2 x,DDR4,3200 MHz
Team Elite Plus Series Black 16GB DDR3-1600 CL11 kit,16 GB,2 x,DDR3,1600 MHz
Corsair Vengeance LPX Black 16GB DDR4-3200 CL16 kit,16 GB,2 x,DDR4,3200 MHz
OCZ Platinum 6GB DDR3-1600 ELV CL9 triple kit,6 GB,3 x,DDR3,1600 MHz
Team Xtreem Series White 8GB DDR3-2400 CL10 kit,8 GB,2 x,DDR3,2400 MHz
Crucial Ballistix Elite 8GB DDR3-1866 CL9 kit,8 GB,2 x,DDR3,1866 MHz
Geil Evo Veloce White 16GB DDR3-2400 CL11 kit,16 GB,2 x,DDR3,2400 MHz
Geil Dragon Ram 8GB DDR4-2133 CL15 kit,8 GB,2 x,DDR4,2133 MHz
Crucial 12GB DDR3-1066 CL7 ECC triple kit,12 GB,3 x,DDR3,1066 MHz
Geil Evo Potenza 32GB DDR4-3000 CL16 octo kit,32 GB,8 x,DDR4,3000 MHz
G.Skill Ripjaws V Black 16GB DDR4-3000 CL14 kit,16 GB,2 x,DDR4,3000 MHz
Geil Dragon 64GB DDR4-2800 CL14 quad kit,64 GB,4 x,DDR4,2800 MHz
Crucial 16GB DDR4-2400 CL17 quad kit,16 GB,4 x,DDR4,2400 MHz
Team Vulcan Series Red 8GB DDR3-2133 CL10 kit,8 GB,2 x,DDR3,2133 MHz
G.Skill RipjawsX 16GB DDR3-1866 CL9 kit,16 GB,2 x,DDR3,1866 MHz
Corsair Vengeance LPX Red 32GB DDR4-3600 CL16 quad kit,32 GB,4 x,DDR4,3600 MHz
Geil Evo Veloce 32GB DDR3-2400 CL11 quad kit,32 GB,4 x,DDR3,2400 MHz
Kingston ValueRam 16GB DDR4-2400 CL17 ECC kit,16 GB,2 x,DDR4,2400 MHz
G.Skill Ripjaws IV Red 16GB DDR4-2800 CL16 kit,16 GB,2 x,DDR4,2800 MHz
Crucial Ballistix Elite 8GB DDR3-1333 kit,8 GB,2 x,DDR3,1333 MHz
Adata XPG Z1 32GB DDR4-2666 CL16 quad kit,32 GB,4 x,DDR4,2666 MHz
Kingston HyperX Predator 32GB DDR3-1600 CL9 quad kit,32 GB,4 x,DDR3,1600 MHz
Geil Evo Leggera 8GB DDR3-2666 CL11 kit,8 GB,2 x,DDR3,2666 MHz
Corsair XMS3 64GB DDR3-1600 CL11 octo kit,64 GB,8 x,DDR3,1600 MHz
G.Skill Ares 16GB DDR3-1600 CL8 quad kit,16 GB,4 x,DDR3,1600 MHz
Corsair Vengenace LPX Black 16GB DDR4-3866 CL18 quad kit,16 GB,4 x,DDR4,3866 MHz
Corsair XMS3 32GB DDR3-1333 CL9 quad kit,32 GB,4 x,DDR3,1333 MHz
Corsair Dominator 16GB DDR3-1866 CL9 kit,16 GB,2 x,DDR3,1866 MHz
Geil 8GB DDR3-1600 CL11 kit,8 GB,2 x,DDR3,1600 MHz
Geil EVO ONE 4GB DDR2-800 CL5 kit,4 GB,2 x,DDR2,800 MHz
Geil Evo Potenza 32GB DDR3-2400 CL11 quad kit,32 GB,4 x,DDR3,2400 MHz
Geil Evo Two 6GB DDR3-1333 CL6 triple kit,6 GB,3 x,DDR3,1333 MHz
Geil Super Luce White/Red 16GB DDR4-3000 CL16 quad kit,16 GB,4 x,DDR4,3000 MHz
Corsair Dominator 6GB DDR3-1600 CL8 kit,6 GB,2 x,DDR3,1600 MHz
G.Skill Ripjaws 8GB DDR3-1600 CL7 XMP kit,8 GB,2 x,DDR3,1600 MHz
Corsair Vengeance Black 8GB DDR3-1866 CL10 kit,8 GB,2 x,DDR3,1866 MHz
OCZ Value 6GB DDR3-1600 CL9 triple kit,6 GB,3 x,DDR3,1600 MHz
Geil Super Luce White/Red 64GB DDR4-2400 CL14 quad kit,64 GB,4 x,DDR4,2400 MHz
OCZ Blade 6GB DDR3-1866MHz CL7 triple kit,6 GB,3 x,DDR3,1866 MHz
G.Skill Eco Series 4GB DDR3-1333 CL7 kit,4 GB,2 x,DDR3,1333 MHz
Kingston HyperX LoVo 16GB DDR3-1600 CL9 kit,16 GB,2 x,DDR3,1600 MHz
Geil Dragon 64GB DDR4-2666 CL15 quad kit,64 GB,4 x,DDR4,2666 MHz
Geil Evo Veloce 16GB DDR3-1866 CL10 kit,16 GB,2 x,DDR3,1866 MHz
Adata XPG Z1 32GB DDR4-2133 CL13 quad kit,32 GB,4 x,DDR4,2133 MHz
Corsair Dominator GT 8GB DDR3-2000 CL9 kit,8 GB,2 x,DDR3,2000 MHz
Kingston HyperX Beast 64GB DDR3-1866 CL10 octo kit,64 GB,8 x,DDR3,1866 MHz
G.Skill Trident Z 32GB DDR4-3200 CL14 Black/Orange quad kit,32 GB,4 x,DDR4,3200 MHz
Kingston ValueRam 6GB DDR3-1066 CL7 ECC Registered SR triple kit,6 GB,3 x,DDR3,1066 MHz
OCZ Gold 24GB DDR3-1333 CL9 triple kit,24 GB,3 x,DDR3,1333 MHz
Team Vulcan Series Orange 16GB DDR3-1600 CL9 kit,16 GB,2 x,DDR3,1600 MHz
G.Skill NT 32GB DDR4-2133 CL15 quad kit,32 GB,4 x,DDR4,2133 MHz
Corsair XMS3 12GB DDR3-1600 CL9 triple kit,12 GB,3 x,DDR3,1600 MHz
Geil Evo Forza Black/Red 8GB DDR4-3200 CL16 kit,8 GB,2 x,DDR4,3200 MHz
Geil 6GB DDR3-1800 CL8 triple kit,6 GB,3 x,DDR3,1800 MHz
Kingston HyperX Predator 64GB DDR4-3000 CL15 quad kit,64 GB,4 x,DDR4,3000 MHz
Kingston HyperX Beast 16GB DDR3-2400 CL11 quad kit,16 GB,4 x,DDR3,2400 MHz
Corsair Vengeance LPX Black 8GB DDR4-2666 CL16 kit,8 GB,2 x,DDR4,2666 MHz
Geil Evo Veloce 32GB DDR3-1600 CL10 quad kit,32 GB,4 x,DDR3,1600 MHz
Kingston HyperX Predator 8GB DDR3-2666 CL11 kit,8 GB,2 x,DDR3,2666 MHz
Corsair Vengeance LPX Red 32GB DDR4-2666 CL16 quad kit,32 GB,4 x,DDR4,2666 MHz
G.Skill Ripjaws V Red 64GB 64GB CL15 octo kit,64 GB,8 x,DDR4,3200 MHz
Corsair XMS 6GB DDR3-1333 CL9 triple kit,6 GB,3 x,DDR3,1333 MHz
Team Dark Series Grey 16GB DDR3-2400 CL11 kit,16 GB,2 x,DDR3,2400 MHz
G.Skill Ripjaws V Red 32GB DDR4-3000 CL14 quad kit,32 GB,4 x,DDR4,3000 MHz
Corsair Vengeance LED White 32GB DDR4-3200 CL16 quad kit,32 GB,4 x,DDR4,3200 MHz
Crucial 16GB DDR4-2400 CL17 kit,16 GB,2 x,DDR4,2400 MHz
Kingston ValueRam 4GB DDR4-2400 CL17 ECC Registered kit,4 GB,2 x,DDR4,2400 MHz
Corsair Dominator Platinum Black 16GB DDR4-3333 CL16 quad kit,16 GB,4 x,DDR4,3333 MHz
G.Skill RipjawsX 4GB DDR3-1866 CL9 kit,4 GB,2 x,DDR3,1866 MHz
OCZ Titanium 4GB DDR3-1600 LV CL7 kit,4 GB,2 x,DDR3,1600 MHz
Kingston HyperX 4GB DDR2-1066 CL5 quad kit,4 GB,4 x,DDR2,1066 MHz
Geil Evo Leggera 16GB DDR3-2666 CL11 quad kit,16 GB,4 x,DDR3,2666 MHz
G.Skill RipjawsX 16GB DDR3-1600 CL10 kit,16 GB,2 x,DDR3,1600 MHz
Team Vulcan Series Gold 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
G.Skill Aegis 16GB DDR4-2800 CL17 kit,16 GB,2 x,DDR4,2800 MHz
Crucial Ballistix Sport LT Red 16GB DDR4-2400 CL16 quad kit,16 GB,4 x,DDR4,2400 MHz
Corsair Dominator GT 6GB DDR3-1600 C7 kit,6 GB,2 x,DDR3,1600 MHz
Corsair Vengeance 4GB DDR-1600 CL9 LP kit,4 GB,2 x,DDR,1600 MHz
OCZ Platinum 4GB DDR3-1600 CL7 Low Voltage kit,4 GB,2 x,DDR3,1600 MHz
Team Vulcan Series Gold 16GB DDR3-1866 CL9 quad kit,16 GB,4 x,DDR3,1866 MHz
Kingston HyperX Fury Black 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
G.Skill Ripjaws V 16GB DDR4-3200 CL16 quad kit,16 GB,4 x,DDR4,3200 MHz
G.Skill Ripjaws V Black 16GB DDR4-3200 CL16 quad kit,16 GB,4 x,DDR4,3200 MHz
Crucial 128GB DDR4-2133 CL15 ECC Registered quad kit,128 GB,4 x,DDR4,2133 MHz
Corsair XMS3 4GB DDR3-1333 CL9 kit,4 GB,2 x,DDR3,1333 MHz
G.Skill Trident Z Silver/White 32GB DDR4-3200 CL16 quad kit,32 GB,4 x,DDR4,3200 MHz
Corsair Vengeance LPX Black 8GB DDR4-3000 CL15 kit,8 GB,2 x,DDR4,3000 MHz
Geil Evo Potenza 8GB DDR3-1866 CL10 kit,8 GB,2 x,DDR3,1866 MHz
Crucial Ballistix Sport 4GB DDR3-1600 CL9 kit,4 GB,2 x,DDR3,1600 MHz
OCZ Platinum 4GB DDR3-1600 ELV CL8 kit,4 GB,2 x,DDR3,1600 MHz
G.Skill Trident 4GB DDR3-1600 CL8 kit,4 GB,2 x,DDR3,1600 MHz
Corsair Vengeance LPX Red 8GB DDR4-3000 CL15 kit,8 GB,2 x,DDR4,3000 MHz
Geil Dragon Ram 8GB DDR4-2400 CL16 kit,8 GB,2 x,DDR4,2400 MHz
Kingston HyperX 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
G.Skill RipjawsX 32GB DDR3-1600 CL10 quad kit,32 GB,4 x,DDR3,1600 MHz
G.Skill Ripjaws IV 8GB DDR4-2400 CL15 kit,8 GB,2 x,DDR4,2400 MHz
Corsair Vengeance LPX Red 64GB DDR4-3333 CL16 quad kit,64 GB,4 x,DDR4,3333 MHz
Kingston HyperX 6GB DDR3-1333 CL7 XMP triple kit,6 GB,3 x,DDR3,1333 MHz
Corsair Vengeance Black White LED 32GB DDR4-3000 CL15 kit,32 GB,2 x,DDR4,3000 MHz
Kingston HyperX 4GB DDR3-2000 CL9 XMP Tall kit,4 GB,2 x,DDR3,2000 MHz
Adata XPG Z1 16GB DDR4-2666 CL16 kit,16 GB,2 x,DDR4,2666 MHz
Corsair Twin2X 4GB DDR3-1333 CL9,4 GB,2 x,DDR3,1333 MHz
Corsair Vengeance 16GB DDR3-1866 CL9 LP quad kit,16 GB,4 x,DDR3,1866 MHz
Adata XPG Gaming 12GB DDR3-1600 CL9 triple kit,12 GB,3 x,DDR3,1600 MHz
Geil Dragon 8GB DDR4-2666 CL15 kit,8 GB,2 x,DDR4,2666 MHz
Team Xtreem Series White 8GB DDR3-2133 CL11 kit,8 GB,2 x,DDR3,2133 MHz
Kingston ValueRam 4GB DDR3-1333 CL9 Registered ECC kit,4 GB,2 x,DDR3,1333 MHz
G.Skill Trident Z Silver/White 32GB DDR4-3333 CL16 kit,32 GB,2 x,DDR4,3333 MHz
Kingston HyperX Savage 8GB DDR3-1600MHz CL9 kit,8 GB,2 x,DDR3,1600 MHz
Corsair Vengeance LPX Red 16GB DDR4-2666 CL16 quad kit,16 GB,4 x,DDR4,2666 MHz
Team Xtreem Dark 6GB DDR3-1600 CL8 triple kit,6 GB,3 x,DDR3,1600 MHz
Corsair Vengeance LPX Red 32GB DDR4-3733 CL17 quad kit,32 GB,4 x,DDR4,3733 MHz
Geil 6GB DDR3-1600 CL9 triple kit,6 GB,3 x,DDR3,1600 MHz
Geil Value Plus 12GB DDR3-1600 CL9 hexa kit,12 GB,6 x,DDR3,1600 MHz
G.Skill RipjawsX 8GB DDR3-2200 CL9 kit,8 GB,2 x,DDR3,2200 MHz
G.Skill Trident Z White/Silver 16GB DDR4-3600 CL16 kit,16 GB,2 x,DDR4,3600 MHz
Crucial 16GB DDR3-1600 CL11 ECC kit,16 GB,2 x,DDR3,1600 MHz
G.Skill Ripjaws V 64GB DDR4-2133 CL15 quad kit,64 GB,4 x,DDR4,2133 MHz
Geil Dragon 16GB DDR4-2666 CL15 kit,16 GB,2 x,DDR4,2666 MHz
Corsair Vengeance LPX Black 8GB DDR4-4266 CL19 kit,8 GB,2 x,DDR4,4266 MHz
Kingston HyperX PnP 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Geil Evo Potenza Onyx Black 8GB DDR3-1333 CL9 kit,8 GB,2 x,DDR3,1333 MHz
OCZ Platinum 4GB DDR3-1600 LV CL6 kit,4 GB,2 x,DDR3,1600 MHz
G.Skill Ripjaws V White 16GB DDR4-2666 CL15 kit,16 GB,2 x,DDR4,2666 MHz
Kingston HyperX Predator 16GB DDR4-2800 CL14 quad kit,16 GB,4 x,DDR4,2800 MHz
Geil EVO ONE 4GB DDR2-800 CL5 quad kit,4 GB,4 x,DDR2,800 MHz
OCZ Blade 2 Series 6GB DDR3-2133 CL8 triple kit,6 GB,3 x,DDR3,2133 MHz
G.Skill RipjawsX 32GB DDR3-2133 CL10 quad kit,32 GB,4 x,DDR3,2133 MHz
Corsair Vengeance LPX Red 16GB DDR4-2133 CL13 kit,16 GB,2 x,DDR4,2133 MHz
Kingston ValueRam 16GB DDR3-1333 ECC CL9 kit,16 GB,2 x,DDR3,1333 MHz
Kingston ValueRam 8GB DDR4-2400 CL17 ECC Registered kit,8 GB,2 x,DDR4,2400 MHz
Corsair Dominator Platinum 64GB DDR4-2400 CL14 octo kit,64 GB,8 x,DDR4,2400 MHz
Geil Evo Veloce 16GB DDR3-1333 CL9 kit,16 GB,2 x,DDR3,1333 MHz
Kingston HyperX 4GB DDR2-1066 CL7 kit,4 GB,2 x,DDR2,1066 MHz
Kingston HyperX 4GB DDR3-1600 CL8 XMP kit,4 GB,2 x,DDR3,1600 MHz
Corsair Dominator Platinum Series 8GB DDR3-1600 CL7 kit,8 GB,2 x,DDR3,1600 MHz
G.Skill RipjawsX Blue 8GB DDR3-2400 CL11 kit,8 GB,2 x,DDR3,2400 MHz
G.Skill Trident 8GB DDR3-2400 CL10 kit,8 GB,2 x,DDR3,2400 MHz
Corsair Vengeance LPX Black 16GB DDR4-2400 CL16 quad kit,16 GB,4 x,DDR4,2400 MHz
