ProductName,Capacity (Total),ModuleNum,MemType,MemSpeed
Corsair Vengeance LPX Black 32GB DDR4-2800 CL16 kit,32 GB,2 x,DDR4,2800 MHz
Corsair Vengeance 32GB DDR3-1600 CL9 quad kit,32 GB,4 x,DDR3,1600 MHz
Kingston HyperX Beast 8GB DDR3-2133MHz CL11 kit,8 GB,2 x,DDR3,2133 MHz
Geil Evo Potenza 8GB DDR4-2400 CL15 kit,8 GB,2 x,DDR4,2400 MHz
Geil Evo Veloce 16GB DDR3-1866 CL10 quad kit,16 GB,4 x,DDR3,1866 MHz
OCZ Platinum XTC 12GB DDR3-1066 CL7 hexa kit,12 GB,6 x,DDR3,1066 MHz
G.Skill Ares 16GB DDR3-1866 CL10 kit,16 GB,2 x,DDR3,1866 MHz
G.Skill Ripjaws V Black 16GB DDR4-3200 CL16-16 kit,16 GB,2 x,DDR4,3200 MHz
Geil Evo Corsa 32GB DDR3-1333 CL9 quad kit,32 GB,4 x,DDR3,1333 MHz
Corsair Twin2X 4GB DDR2-1066 CL7 kit,4 GB,2 x,DDR2,1066 MHz
Geil Evo Potenza 32GB DDR4-2666 CL15 quad kit,32 GB,4 x,DDR4,2666 MHz
Team Dark Pro Series Grey 16GB DDR4-3000 CL15 kit,16 GB,2 x,DDR4,3000 MHz
Corsair XMS3 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
G.Skill Ares 8GB DDR3-2133 CL11 kit,8 GB,2 x,DDR3,2133 MHz
Geil 12GB DDR3-1333 CL9 hexa kit,12 GB,6 x,DDR3,1333 MHz
Team Elite 16GB DDR3-1333 CL9 kit,16 GB,2 x,DDR3,1333 MHz
G.Skill Sniper 32GB DDR3-1600 CL9 quad kit,32 GB,4 x,DDR3,1600 MHz
Crucial 32GB DDR4-2133 CL15 VLP ECC Registered quad kit,32 GB,4 x,DDR4,2133 MHz
Corsair Vengeance Pro 16GB DDR3-2400 CL11 kit,16 GB,2 x,DDR3,2400 MHz
G.Skill TridentX 32GB DDR3-2666 CL11 quad kit,32 GB,4 x,DDR3,2666 MHz
OCZ Platinum XTE 6GB DDR3-2000 CL8 triple kit,6 GB,3 x,DDR3,2000 MHz
Adata Premier 32GB DDR3-1600 CL11 quad kit,32 GB,4 x,DDR3,1600 MHz
OCZ Gold XTC 8GB DDR2-800 CL5 kit,8 GB,2 x,DDR2,800 MHz
Kingston HyperX Genesis 16GB DDR3-1866 CL9 quad kit,16 GB,4 x,DDR3,1866 MHz
Kingston HyperX Anniversary 16GB DDR3-1600 CL10 kit,16 GB,2 x,DDR3,1600 MHz
Corsair Triple3X 6GB DDR3-1600 CL7 triple kit,6 GB,3 x,DDR3,1600 MHz
Geil Evo Veloce 16GB DDR3-2400 CL11 kit,16 GB,2 x,DDR3,2400 MHz
G.Skill Ares 16GB DDR3-2400 CL11 quad kit,16 GB,4 x,DDR3,2400 MHz
Kingston HyperX T1 6GB DDR3-1600 CL9 triple kit,6 GB,3 x,DDR3,1600 MHz
Corsair Vengeance Pro Blue 16GB DDR3-1600 CL9 kit,16 GB,2 x,DDR3,1600 MHz
Geil EVO ONE 4GB DDR2-1066 CL5 quad kit,4 GB,4 x,DDR2,1066 MHz
Adata XPG Gaming 8GB DDR3-1600 triple kit,8 GB,3 x,DDR3,1600 MHz
Geil Evo Potenza 16GB DDR4-3000 CL15 kit,16 GB,2 x,DDR4,3000 MHz
Crucial 16GB DDR3L-1600 CL11 VLP kit,16 GB,2 x,DDR3,1600 MHz
OCZ Blade 6GB DDR3-1600 CL6 triple kit,6 GB,3 x,DDR3,1600 MHz
Geil Ultra 6GB DDR3-1333 CL6 triple kit,6 GB,3 x,DDR3,1333 MHz
Corsair Vengeance 16GB DDR3-1866 CL9 quad kit,16 GB,4 x,DDR3,1866 MHz
Kingston HyperX Predator 16GB DDR3-2133MHz CL11 kit,16 GB,2 x,DDR3,2133 MHz
Crucial 48GB DDR3L-1600 CL11 VLP ECC Registered Triple kit,48 GB,3 x,DDR3,1600 MHz
Team Xtreem Series 16GB DDR3-2400 CL10 quad kit,16 GB,4 x,DDR3,2400 MHz
Crucial Ballistix Sport LT 16GB DDR4-2400 CL16 kit,16 GB,2 x,DDR4,2400 MHz
Kingston ValueRam 4GB DDR2-400 CL3 kit,4 GB,2 x,DDR2,400 MHz
G.Skill PIS 8GB DDR3-2200 CL7 quad kit,8 GB,4 x,DDR3,2200 MHz
G.Skill TridentX 32GB DDR3-1866 CL8 quad kit,32 GB,4 x,DDR3,1866 MHz
Geil Evo One 4GB DDR3-2133 CL9 kit,4 GB,2 x,DDR3,2133 MHz
Team Elite Plus Series 4GB DDR3-1600 CL11 kit,4 GB,2 x,DDR3,1600 MHz
Team Vulcan Series Gold 16GB DDR3-1600 CL9 quad kit,16 GB,4 x,DDR3,1600 MHz
Corsair XMS3 16GB DDR3-1333 CL9 kit,16 GB,2 x,DDR3,1333 MHz
Kingston HyperX 6GB DDR3-1800 CL9 XMP triple kit,6 GB,3 x,DDR3,1800 MHz
G.Skill 8GB DDR3-1600 CL11 kit,8 GB,2 x,DDR3,1600 MHz
Geil Evo Two 16GB DDR3-2400 CL11 quad kit,16 GB,4 x,DDR3,2400 MHz
Kingston HyperX 4GB DDR3-2000 CL8 XMP Tall HS kit,4 GB,2 x,DDR3,2000 MHz
Corsair Vengeance LPX White 32GB DDR4-3000 CL15 kit,32 GB,2 x,DDR4,3000 MHz
Corsair Vengeance 8GB DDR3-1600 CL9 kit,8 GB,2 x,DDR3,1600 MHz
Geil Ultra Plus 6GB DDR3-1600 CL7 triple kit,6 GB,3 x,DDR3,1600 MHz
Kingston HyperX Fury Red 8GB DDR3-1866 CL10 kit,8 GB,2 x,DDR3,1866 MHz
Corsair Vengeance LPX Red 16GB DDR4-2400 CL16 quad kit,16 GB,4 x,DDR4,2400 MHz
